adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/mNQtUJv1F3u0uSKILFrGjIHqkxx.jpg,"[37, 18, 12]",281957,en,The Revenant,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",10.7406,/ji3ecJphATlVgWNY0B0RVXZizdf.jpg,2015-12-25,The Revenant,False,7.539,18994
False,/3Gjo73aMqNWxNdBa7PeEj7AXJ3E.jpg,"[16, 35, 12, 53]",1107216,fr,Falcon Express,"When a train unexpectedly starts up, taking only pets with it, the animals discover that Hans, a badger with a grudge is behind it all. While the crash seems inevitable, the animals can count on Falcon, a roguish Raccoon who will do anything to save them.",10.6414,/b10qy1KwrfmH0MGS2rBUJ0BxgYB.jpg,2025-07-02,Pets on a Train,False,6.9,34
False,/rdiOHydT17DtZ9WBVFLnVK4cU2R.jpg,"[878, 28, 18, 27, 53]",1340110,en,Redux Redux,"In an attempt to avenge her daughter's death, Irene Kelly travels through parallel universes, killing her daughter's murderer over and over again. She soon grows addicted to the revenge streak, putting her own humanity in jeopardy.",10.4589,/9u7sUTYPPTxGCXbkcw8FTq50PnO.jpg,2026-02-20,Redux Redux,False,0.0,0
False,/xxU0ttSVJ3iHpMzZNfN1yb09MZt.jpg,"[10749, 35]",1297953,es,Mi amiga Eva,"Eva has just turned 50. She’s been married for over 20 years and has two, teenage children. So far, nothing remarkable. But on a business trip to Rome something happens that turns her life upside down. She meets Alex, a scriptwriter who’s spending a few days in the Italian city. The instant attraction she feels for him, the butterflies in her tummy, the seductive hint of possibility… After all this time, she remembers what it feels like to fall in love and it shifts something inside of her. It reignites a fire that had long been extinguished.",10.3305,/8bQtzFJoLelplIgfIe2i37JGGls.jpg,2025-09-18,My Friend Eva,False,5.8,10
False,/n4Vd7XfTsTaO7Mmc68WiktyLXQo.jpg,"[27, 9648]",1193501,en,Whistle,"A misfit group of unwitting high school students stumble upon a cursed object, an ancient Aztec Death Whistle. They discover that blowing the whistle and the terrifying sound it emits will summon their future deaths to hunt them down.",10.2887,/otCoDQYnNy2x1QzTVn3JCp0jV4O.jpg,2026-01-20,Whistle,False,4.0,3
False,/n4Vd7XfTsTaO7Mmc68WiktyLXQo.jpg,"[27, 9648]",1193501,en,Whistle,"A misfit group of unwitting high school students stumble upon a cursed object, an ancient Aztec Death Whistle. They discover that blowing the whistle and the terrifying sound it emits will summon their future deaths to hunt them down.",12.3162,/otCoDQYnNy2x1QzTVn3JCp0jV4O.jpg,2026-01-20,Whistle,False,4.5,4
False,/nBraEAWIC4DMf5lybx8fNiidtW3.jpg,[18],1480382,ar,صوت هند رجب,"January 29, 2024. Red Crescent volunteers receive an emergency call. A five-year old girl is trapped in a car under fire in Gaza, pleading for rescue. While trying to keep her on the line, they do everything they can to get an ambulance to her. Her name was Hind Rajab.",9.6575,/q7M8kQB46T11vmDMD6E239jsqTz.jpg,2025-09-10,The Voice of Hind Rajab,False,8.2,158
False,/jFKbhV0uFZuA3K73UJIq1dzisCi.jpg,"[16, 12, 878, 14, 10751]",804370,fr,Arco,"Arco, ten years old, lives in a far future. During his first flight in his rainbow suit, he loses control and falls in the past. Iris, a little girl his age from 2075, saw him fall. She rescues him and tries by all means to send him back to his era.",9.3,/62PDjxO03RhZ4SDB5pwEvjWT8Nz.jpg,2025-10-22,Arco,False,7.8,68
False,/bxT8jFcWNuWK5LmVo1oGhAm4dnZ.jpg,"[12, 28, 18]",1084736,fr,Le Comte de Monte-Cristo,"Edmond Dantès becomes the target of a sinister plot and is arrested on his wedding day for a crime he did not commit. After 14 years in the island prison of Château d’If, he manages a daring escape. Now rich beyond his dreams, he assumes the identity of the Count of Monte-Cristo and exacts his revenge on the three men who betrayed him.",10.818,/sAT1P3FGhtJ68anUyJScnMu8t1l.jpg,2024-06-28,The Count of Monte Cristo,False,7.925,1919
False,/dF2c20sRDgySZLaLS2OUerL07sz.jpg,"[12, 14, 18, 10749]",18239,en,The Twilight Saga: New Moon,"Forks, Washington resident Bella Swan is reeling from the departure of her vampire love, Edward Cullen, and finds comfort in her friendship with Jacob Black, a werewolf. But before she knows it, she's thrust into a centuries-old conflict, and her desire to be with Edward at any cost leads her to take greater and greater risks.",11.0647,/k2qTooPlHffgNABNWxeJdGMglPK.jpg,2009-11-18,The Twilight Saga: New Moon,False,5.993,9619
